ольба,испания,Ольба	Olba,_Aragon
оцук,япония,город,Оцуки 	Ōtsuki,_Yamanashi
обуаси,ган,город,Обуаси	Obuasi
озерный,россия,посёлок,тверская область,Озёрный 	Ozyorny,_Tver_Oblast
ореа,испания,Ореа	Orea
оттерсхайм-ландау,германия,коммуна,Оттерсхайм-Ландау	Ottersheim_bei_Landau
оберембр,швейцария,коммуна,Оберембрах	Oberembrach
онагава,япония,посёлок,Онагава	Onagawa,_Miyagi
ошский область,киргизия,город,Ошская область	Osh_Region
орвийер-сено-жюльен,франция,коммуна,Орвийер-Сен-Жюльен	Orvilliers-Saint-Julien
оламбра,бразилия,Оламбра	Holambra
озило,италия,коммуна,Озило	Osilo
оккьобелло,италия,коммуна,Оккьобелло	Occhiobello
озерский городской округ,россия,калининградский область,город,Озёрский городской округ 	Ozyorsky_District,_Kaliningrad_Oblast
оберройт,германия,коммуна,Оберройте	Oberreute
ольн,бельгия,коммуна,Ольн	Olne
ольмед-де-кобет,испания,Ольмеда-де-Кобета	Olmeda_de_Cobeta
оля,россия,астраханский область,Оля 	Olya
оливери,италия,коммуна,Оливери	Oliveri
обергесген,швейцария,коммуна,Обергёсген	Obergösgen
октябрьский район,россия,челябинский область,село,Октябрьский район 	Oktyabrsky_District,_Chelyabinsk_Oblast
овас,япония,город,Овасе	Owase,_Mie
онеймия,соединять штат америка,город,миннесота,Онеймия 	Onamia,_Minnesota
орен,франция,коммуна,верхний гаронна,Орен 	Aurin,_Haute-Garonne
отлукбель,турция,город,Отлукбели	Otlukbeli
оджеббио,италия,коммуна,Оджеббио	Oggebbio
отр,франция,мерт  мозель,коммуна,Отре 	Autrey,_Meurthe-et-Moselle
офунато,япония,город,Офунато	Ōfunato
омитар,намибия,Омитара	Omitara
ореховый-борисово южный,россия,район,Орехово-Борисово Южное	Orekhovo-Borisovo_Yuzhnoye_District
орриус,испания,населённый пункт,Орриус	Òrrius
олеак-деся,франция,коммуна,Олеак-Десю	Oléac-Dessus
ольштынька,польша,гмина,Ольштынек 	Gmina_Olsztynek
олькань,франция,коммуна,Олькани	Olcani
обуховский район,украина,город,Обуховский район	Obukhiv_Raion
обербецберг,швейцария,коммуна,Обербёцберг	Oberbözberg
орьебат,франция,коммуна,Орьебат	Auriébat
ольштынька,польша,город,Ольштынек	Olsztynek
он,италия,коммуна,валль-д’аоста,Он 	Hône
охос-альбос,испания,Охос-Альбос	Ojos-Albos
ордынский район,россия,посёлок,Ордынский район	Ordynsky_District
отеррив,франция,коммуна,Отеррив	Auterrive
оберрамзерн,швейцария,коммуна,Оберрамзерн	Oberramsern
ольберслебен,германия,коммуна,Ольберслебен	Olbersleben
оногур,болгария,село,Оногур	Onogur,_Bulgaria
оспедалетто,италия,коммуна,Оспедалетто	Ospedaletto,_Trentino
остерхольц-шармбек,германия,город,Остерхольц-Шармбек	Osterholz-Scharmbeck
оберштедь,германия,коммуна,Оберштедем	Oberstedem
оренбах,германия,коммуна,Оренбах	Ohrenbach
освьель,франция,коммуна,Освьель	Aussevielle
обозерский,россия,посёлок,Обозерский	Obozersky
оландон,франция,коммуна,Оландон	Olendon
орио-канавез,италия,коммуна,Орио-Канавезе	Orio_Canavese
оливади,италия,коммуна,Оливади	Olivadi
оберпуллендорф,австрия,город,Оберпуллендорф	Oberpullendorf
опаринский район,россия,посёлок,Опаринский район	Oparinsky_District
озориу,бразилия,муниципалитет,риу-гранди-ду-сул,Озориу 	Osório,_Rio_Grande_do_Sul
осташковский район,россия,Осташковский район	Ostashkovsky_District
осорный,чили,провинция,Осорно 	Osorno_Province
оттава,канада,квебек,регион,Оттава 	Outaouais
область саванна,то,город,Область Саванн	Savanes_Region,_Togo
оук-гров,соединять штат америка,округ карролл,арканзас,Оук-Гров 	Oak_Grove,_Carroll_County,_Arkansas
одюбон,соединять штат америка,округ,айова,Одюбон 	Audubon_County,_Iowa
отон,франция,альпы верхний прованс,коммуна,Отон 	Authon,_Alpes-de-Haute-Provence
огняново,болгария,добричский область,село,Огняново 	Ognyanovo,_Dobrich_Province
ордруф,германия,Ордруф	Ohrdruf
оренбургский область,россия,город,Оренбургская область	Orenburg_Oblast
